seed,nmi,ari,acc,recall,precision,fscore,predicted_clusters,min_cluster_size,run_valid
20260814,0.83968469035258297,0.65868008060127392,0.81818181818181823,0.73212121212121217,0.63645943097997892,0.68094701240135291,15,8,1
20260815,0.84602699570117978,0.67417546722265043,0.76969696969696966,0.72606060606060607,0.66629588431590658,0.69489559164733172,15,8,1
20260816,0.842092515815972,0.65506184824015667,0.76969696969696966,0.72848484848484851,0.63329820864067443,0.67756482525366402,15,6,1
20260817,0.83438836085001566,0.6624990763319295,0.76969696969696966,0.73212121212121217,0.64255319148936174,0.68441926345609061,15,6,1
20260818,0.80792353012880935,0.60577496545203291,0.73939393939393938,0.68727272727272726,0.58453608247422684,0.63175487465181068,15,6,1
20260819,0.8264288702018816,0.61579180794597765,0.75151515151515147,0.71030303030303032,0.58483033932135731,0.64148877941981397,15,4,1
20260820,0.87552627258127824,0.73411636660468904,0.84848484848484851,0.7842424242424243,0.72048997772828505,0.75101567034242611,15,8,1
20260821,0.85511348920475017,0.68464797673354316,0.83030303030303032,0.75515151515151513,0.66135881104033967,0.70514997170345217,15,8,1
20260822,0.79431724924585867,0.56990762486300284,0.68484848484848482,0.66666666666666663,0.54347826086956519,0.59880239520958067,15,4,1
20260823,0.81135846591388949,0.59781505154933989,0.70909090909090911,0.69212121212121214,0.56929212362911263,0.62472647702407003,15,3,1
20260824,0.86763226040911767,0.71536723671020552,0.84242424242424241,0.77454545454545454,0.69683751363140678,0.73363949483352475,15,8,1
20260825,0.82036547974119745,0.60253670256603686,0.75757575757575757,0.7151515151515152,0.56244041944709244,0.62966915688367131,15,3,1
20260826,0.77819651391214084,0.50489936979060768,0.64848484848484844,0.63272727272727269,0.4702702702702703,0.53953488372093017,15,4,1
20260827,0.79954009146973049,0.59410689478686829,0.73939393939393938,0.67151515151515151,0.57708333333333328,0.62072829131652663,15,7,1
20260828,0.85328232864760911,0.68904819151936114,0.78787878787878785,0.75515151515151513,0.66845493562231761,0.70916334661354574,15,4,1
20260829,0.84416651960417743,0.66742158473585256,0.76969696969696966,0.73575757575757572,0.64781216648879403,0.68898978433598179,15,6,1
20260830,0.81605861241677002,0.60441844795205935,0.69696969696969702,0.69696969696969702,0.5761523046092184,0.63082830499177178,15,3,1
20260831,0.83482761258038751,0.65306903300810848,0.76969696969696966,0.72606060606060607,0.63185654008438819,0.67569091934574166,15,5,1
20260832,0.77292248514208539,0.50546984572229992,0.64242424242424245,0.64363636363636367,0.46578947368421053,0.54045801526717563,15,3,1
20260833,0.85547229796039159,0.68971322160148973,0.83030303030303032,0.75272727272727269,0.67135135135135138,0.70971428571428574,15,8,1
