seed,nmi,ari,acc,recall,precision,fscore,predicted_clusters,min_cluster_size,run_valid
20260814,0.91720176772525897,0.88324078384861593,0.89498327759197327,0.90690294372468816,0.87650797227542632,0.89144644470112744,15,138,1
20260815,0.88339785211561561,0.78125050269206142,0.80401337792642136,0.86919753495079399,0.73691916862503937,0.7976111865355866,15,79,1
20260816,0.91474167897667069,0.87761483724587719,0.8965440356744705,0.89771369852367611,0.87493968467710259,0.8861803979956725,15,129,1
20260817,0.91438384698483599,0.87335400833302435,0.89587513935340024,0.88977367256064044,0.87471491066729301,0.88218003324700522,15,134,1
20260818,0.89106598900864009,0.81346971488306896,0.83032329988851727,0.88287274370569091,0.77808303272908075,0.82717229643632961,15,66,1
20260819,0.89074858404768309,0.81140709905802855,0.81382385730211815,0.86373723795899449,0.78963060033366494,0.82502312908711239,15,116,1
20260820,0.87766053632840346,0.78932050786967523,0.81360089186176143,0.85104068022002377,0.76309469579165656,0.80467182447047003,15,96,1
20260821,0.91410986735724342,0.87719857619776587,0.8965440356744705,0.89722437301571312,0.87464802762185223,0.88579237185484827,15,128,1
20260822,0.8756870853422507,0.77640004158311615,0.80111482720178373,0.83099704389825479,0.75753162804915652,0.79256554154172854,15,129,1
20260823,0.91980099999062748,0.90211653203318909,0.9215161649944259,0.91217614566932537,0.90565646808680889,0.90890461542873946,15,152,1
20260824,0.88702750037552158,0.79192421458233397,0.80356744704570793,0.88355636022416861,0.74356657611164068,0.80753944634698316,15,101,1
20260825,0.9199422873864509,0.90236485960842128,0.9215161649944259,0.91239490295523829,0.90589955073905137,0.90913562542573412,15,152,1
20260826,0.91960716726683267,0.89164851364436526,0.91549609810479371,0.91876908729279227,0.88062814513993115,0.89929438877783741,15,57,1
20260827,0.89071082070892715,0.8094772095089463,0.82675585284280939,0.87029851734371089,0.78121229346183163,0.82335264932221586,15,89,1
20260828,0.89320636207586568,0.81344308338226046,0.82541806020066888,0.8719924471168653,0.78642176733005464,0.8269994738181895,15,109,1
20260829,0.89703272791250244,0.84371425083075802,0.84593088071348943,0.87501906930288387,0.83542489677299681,0.85476371064509393,15,129,1
20260830,0.84764990489038472,0.71456312590892512,0.7322185061315496,0.79526908585359957,0.68454187550946077,0.73576288563705849,15,128,1
20260831,0.8577174612967986,0.72397260327389656,0.71884057971014492,0.80135255327171673,0.69500880608025206,0.74440184894902006,15,129,1
20260832,0.89444935976370465,0.81932356053073951,0.84370122630992195,0.87264008381858116,0.79567897265370235,0.83238438438438433,15,83,1
20260833,0.91701785361429922,0.88567049734529335,0.9090301003344482,0.91099600767953204,0.87708813683323728,0.89372057069034894,15,75,1
