dataset,variant,metric,recomputed_mean,recorded_mean,d_mean,recomputed_std,recorded_std,d_std
uci,full,nmi,0.983686009299553,0.983686009299553,0,0.0188758740580611,0.0188758740580611,0
uci,full,ari,0.964615734282727,0.964615734282727,0,0.0542118269024709,0.0542118269024709,0
uci,full,acc,0.96675,0.96675,0,0.0552583644537663,0.0552583644537663,0
uci,full,recall,0.986407035175879,0.986407035175879,0,0.0165836177549612,0.0165836177549612,0
uci,full,precision,0.952865188171076,0.952865188171076,0,0.0759056437365173,0.0759056437365173,0
uci,full,fscore,0.968375376004053,0.968375376004053,0,0.0483938722731211,0.0483938722731211,0
uci,no_gradient,nmi,0.984092443115933,0.984092443115933,0,0.0185705084035722,0.0185705084035722,0
uci,no_gradient,ari,0.965304430129651,0.965304430129651,0,0.0537790729001619,0.0537790729001619,0
uci,no_gradient,acc,0.967425,0.967425,0,0.0544238422500944,0.0544238422500944,0
uci,no_gradient,recall,0.987493969849246,0.987493969849246,0,0.0155131443342554,0.0155131443342554,0
uci,no_gradient,precision,0.953146095519415,0.953146095519415,0,0.0761276401336818,0.0761276401336818,0
uci,no_gradient,fscore,0.96899802690725,0.96899802690725,0,0.0479999429415368,0.0479999429415368,0
uci,no_l2log,nmi,0.98194219562087,0.98194219562087,0,0.0227245580676005,0.0227245580676005,0
uci,no_l2log,ari,0.950484181416063,0.950484181416063,0,0.0623058611687552,0.0623058611687552,0
uci,no_l2log,acc,0.949725,0.949725,0,0.0635445295587441,0.0635445295587441,0
uci,no_l2log,recall,0.984870100502513,0.984870100502513,0,0.0198962327764041,0.0198962327764041,0
uci,no_l2log,precision,0.930796774629546,0.930796774629546,0,0.0869621378706181,0.0869621378706181,0
uci,no_l2log,fscore,0.955785009635775,0.955785009635775,0,0.0556374703773473,0.0556374703773473,0
uci,tnn,nmi,0.981837586565545,0.981837586565545,0,0.0259251392198663,0.0259251392198663,0
uci,tnn,ari,0.951582866430927,0.951582866430927,0,0.07107299316135,0.07107299316135,0
uci,tnn,acc,0.95115,0.95115,0,0.0748797456979488,0.0748797456979488,0
uci,tnn,recall,0.986115829145729,0.986115829145729,0,0.0225312548427307,0.0225312548427307,0
uci,tnn,precision,0.932434953695398,0.932434953695398,0,0.0973913377967093,0.0973913377967093,0
uci,tnn,fscore,0.956846056027039,0.956846056027039,0,0.0632437795792967,0.0632437795792967,0
bbc,full,nmi,0.963420719988979,0.963420719988979,0,0.0425856227120973,0.0425856227120973,0
bbc,full,ari,0.953877835082158,0.953877835082158,0,0.0741960353173911,0.0741960353173911,0
bbc,full,acc,0.964522058823529,0.964522058823529,0,0.0615251902643189,0.0615251902643189,0
bbc,full,recall,0.97222474525276,0.97222474525276,0,0.0384338703971018,0.0384338703971018,0
bbc,full,precision,0.959338100676695,0.959338100676695,0,0.0728303358610018,0.0728303358610018,0
bbc,full,fscore,0.965307078003286,0.965307078003286,0,0.0556310949542979,0.0556310949542979,0
bbc,no_gradient,nmi,0.959106103353847,0.959106103353847,0,0.0583930933295616,0.0583930933295616,0
bbc,no_gradient,ari,0.938530039803981,0.938530039803981,0,0.0916172293098659,0.0916172293098659,0
bbc,no_gradient,acc,0.930698529411765,0.930698529411765,0,0.0974604181757898,0.0974604181757898,0
bbc,no_gradient,recall,0.952781641168289,0.952781641168289,0,0.0730135341349668,0.0730135341349668,0
bbc,no_gradient,precision,0.953827063885169,0.953827063885169,0,0.0684996856172526,0.0684996856172526,0
bbc,no_gradient,fscore,0.953123792318069,0.953123792318069,0,0.0699461714001961,0.0699461714001961,0
bbc,no_l2log,nmi,0.219061433969223,0.219061433969223,0,0.0185532171383008,0.0185532171383008,0
bbc,no_l2log,ari,0.158935150056232,0.158935150056232,0,0.0300790892830653,0.0300790892830653,0
bbc,no_l2log,acc,0.477849264705882,0.477849264705882,0,0.0302786514349917,0.0302786514349917,0
bbc,no_l2log,recall,0.533778490533905,0.533778490533905,0,0.0281134855667763,0.0281134855667763,0
bbc,no_l2log,precision,0.330561571309975,0.330561571309975,0,0.0218603628337434,0.0218603628337434,0
bbc,no_l2log,fscore,0.407026686845445,0.407026686845445,0,0.010204980301236,0.010204980301236,0
bbc,tnn,nmi,0.927918286743902,0.927918286743902,0,0.0602629736155284,0.0602629736155284,0
bbc,tnn,ari,0.889069965404278,0.889069965404278,0,0.115356627951267,0.115356627951267,0
bbc,tnn,acc,0.891452205882353,0.891452205882353,0,0.116418390287124,0.116418390287124,0
bbc,tnn,recall,0.901000539297778,0.901000539297778,0,0.108833455872962,0.108833455872962,0
bbc,tnn,precision,0.930693959840566,0.930693959840566,0,0.073944917258242,0.073944917258242,0
bbc,tnn,fscore,0.914447825791227,0.914447825791227,0,0.089399319096854,0.089399319096854,0
orl,full,nmi,0.989180868170711,0.989180868170711,0,0.00614794302685607,0.00614794302685607,0
orl,full,ari,0.949948341442513,0.949948341442513,0,0.0280142916219058,0.0280142916219058,0
orl,full,acc,0.9525,0.9525,0,0.0284466259214654,0.0284466259214654,0
orl,full,recall,0.983166666666667,0.983166666666667,0,0.010551861465015,0.010551861465015,0
orl,full,precision,0.921671196770633,0.921671196770633,0,0.0422926752583331,0.0422926752583331,0
orl,full,fscore,0.951125164453029,0.951125164453029,0,0.0273344620164597,0.0273344620164597,0
orl,no_gradient,nmi,0.986136385199717,0.986136385199717,0,0.00527561048024225,0.00527561048024225,0
orl,no_gradient,ari,0.93283888939464,0.93283888939464,0,0.0254376094914202,0.0254376094914202,0
orl,no_gradient,acc,0.93425,0.93425,0,0.0252109520895812,0.0252109520895812,0
orl,no_gradient,recall,0.977972222222222,0.977972222222222,0,0.00925818219856535,0.00925818219856535,0
orl,no_gradient,precision,0.895092358509253,0.895092358509253,0,0.0383896621573608,0.0383896621573608,0
orl,no_gradient,fscore,0.934430735906228,0.934430735906228,0,0.0248108541895548,0.0248108541895548,0
orl,no_l2log,nmi,0.633234280374981,0.633234280374981,0,0.0137219175185511,0.0137219175185511,0
orl,no_l2log,ari,0.219288024135357,0.219288024135357,0,0.0175058835074231,0.0175058835074231,0
orl,no_l2log,acc,0.365375,0.365375,0,0.0201682886835015,0.0201682886835015,0
orl,no_l2log,recall,0.376361111111111,0.376361111111111,0,0.0248055956660645,0.0248055956660645,0
orl,no_l2log,precision,0.180273437132616,0.180273437132616,0,0.0168869453073501,0.0168869453073501,0
orl,no_l2log,fscore,0.243112124989046,0.243112124989046,0,0.0164246724688362,0.0164246724688362,0
orl,tnn,nmi,0.987107799769582,0.987107799769582,0,0.00459279714724137,0.00459279714724137,0
orl,tnn,ari,0.938015985133079,0.938015985133079,0,0.023719965191146,0.023719965191146,0
orl,tnn,acc,0.94025,0.94025,0,0.0227240308692663,0.0227240308692663,0
orl,tnn,recall,0.979388888888889,0.979388888888889,0,0.00883922529601199,0.00883922529601199,0
orl,tnn,precision,0.903123053730412,0.903123053730412,0,0.0356961973288536,0.0356961973288536,0
orl,tnn,fscore,0.939479293169753,0.939479293169753,0,0.0231348488468004,0.0231348488468004,0
scene,full,nmi,0.896157982658426,0.896157982658426,0,0.0211357717939211,0.0211357717939211,0
scene,full,ari,0.829073726118018,0.829073726118018,0,0.0566925904433367,0.0566925904433367,0
scene,full,acc,0.845540691192865,0.845540691192865,0,0.0598347661067694,0.0598347661067694,0
scene,full,recall,0.875696209454344,0.875696209454344,0,0.0346803394809909,0.0346803394809909,0
scene,full,precision,0.810859860474462,0.810859860474462,0,0.0696490670342367,0.0696490670342367,0
scene,full,fscore,0.841445141264774,0.841445141264774,0,0.0523183360318855,0.0523183360318855,0
scene,no_gradient,nmi,0.903626152732314,0.903626152732314,0,0.0180725851849514,0.0180725851849514,0
scene,no_gradient,ari,0.837149683434489,0.837149683434489,0,0.0551425683501937,0.0551425683501937,0
scene,no_gradient,acc,0.852463768115942,0.852463768115942,0,0.0576875570799664,0.0576875570799664,0
scene,no_gradient,recall,0.881037629131563,0.881037629131563,0,0.0309117252018261,0.0309117252018261,0
scene,no_gradient,precision,0.820247447859006,0.820247447859006,0,0.0696711633273224,0.0696711633273224,0
scene,no_gradient,fscore,0.84891486877868,0.84891486877868,0,0.0508782535703943,0.0508782535703943,0
scene,no_l2log,nmi,0.882509247696935,0.882509247696935,0,0.0173734907724062,0.0173734907724062,0
scene,no_l2log,ari,0.807121227555917,0.807121227555917,0,0.0488038113343786,0.0488038113343786,0
scene,no_l2log,acc,0.837569676700111,0.837569676700111,0,0.0520424304546291,0.0520424304546291,0
scene,no_l2log,recall,0.843973308732733,0.843973308732733,0,0.0342164671627877,0.0342164671627877,0
scene,no_l2log,precision,0.800054930931998,0.800054930931998,0,0.0599692309938576,0.0599692309938576,0
scene,no_l2log,fscore,0.820879768361284,0.820879768361284,0,0.0450461950673738,0.0450461950673738,0
scene,tnn,nmi,0.913894107851918,0.913894107851918,0,0.0157145287217814,0.0157145287217814,0
scene,tnn,ari,0.851845916210509,0.851845916210509,0,0.0480098800760358,0.0480098800760358,0
scene,tnn,acc,0.862809364548495,0.862809364548495,0,0.0519291148650367,0.0519291148650367,0
scene,tnn,recall,0.886799580907095,0.886799580907095,0,0.0275742137140386,0.0275742137140386,0
scene,tnn,precision,0.840320712980611,0.840320712980611,0,0.0606230702852266,0.0606230702852266,0
scene,tnn,fscore,0.862440568943304,0.862440568943304,0,0.0442902329928229,0.0442902329928229,0
yale,full,nmi,0.820586446543043,0.820586446543043,0,0.0154724337084756,0.0154724337084756,0
yale,full,ari,0.60242010720756,0.60242010720756,0,0.0369202326093284,0.0369202326093284,0
