lambda1,lambda2,nmi_mean,nmi_std,acc_mean,acc_std,iterations,wall_seconds,final_primal_residual,final_successive_difference
2.5000000000000001e-05,2.0250000000000001e-05,0.20753030068719408,0.036303712016331688,0.4428308823529411,0.043155382411129331,35,131.84221816062927,9.6652820752330271e-06,2.1713648946516584e-06
2.5000000000000001e-05,4.0500000000000002e-05,0.20593439501513155,0.021883628467992366,0.45174632352941185,0.041516946202227595,35,130.72415494918823,9.5349201390844537e-06,2.1848861049771076e-06
2.5000000000000001e-05,8.1000000000000004e-05,0.21714582416713299,0.048015053736190159,0.46176470588235297,0.046666716125278403,36,134.78900289535522,6.2545746712163461e-06,1.5347343855267617e-06
2.5000000000000001e-05,0.00016200000000000001,0.22109179394208328,0.040683024071727768,0.47141544117647055,0.03845974010420139,36,131.94766402244568,7.5490222756432763e-06,1.8178421474790336e-06
2.5000000000000001e-05,0.00032400000000000001,0.25470360543824322,0.024686993472047787,0.4884191176470587,0.026017771924741785,36,157.96535706520081,7.7508810182766691e-06,2.1326700513468272e-06
5.0000000000000002e-05,2.0250000000000001e-05,0.21558929832828314,0.026403094671535839,0.44485294117647045,0.050172286718667941,35,349.84343194961548,9.7757404053280383e-06,2.285521997384597e-06
5.0000000000000002e-05,4.0500000000000002e-05,0.21450771296138829,0.020475099663834567,0.45220588235294112,0.045086592610016234,35,251.51098084449768,9.6343759816428561e-06,2.2986043746647852e-06
5.0000000000000002e-05,8.1000000000000004e-05,0.21596483803047853,0.030000626729231188,0.45211397058823533,0.040680035357688486,36,380.24305391311646,6.3484146073719138e-06,1.6020387492266202e-06
5.0000000000000002e-05,0.00016200000000000001,0.23490621508410542,0.042370322645519133,0.46139705882352933,0.042841448722549962,36,222.33126091957092,7.6442283805555795e-06,1.8815078726313744e-06
5.0000000000000002e-05,0.00032400000000000001,0.26659194189220997,0.028575663398703443,0.49071691176470589,0.030530176008780503,36,199.41559314727783,7.7728457776543667e-06,2.1745319261802322e-06
0.0001,2.0250000000000001e-05,0.20026557488545044,0.03082452326901184,0.4479779411764705,0.030058320088420964,35,225.59156894683838,9.2522668084564713e-06,2.4966017232285756e-06
0.0001,4.0500000000000002e-05,0.19921542366942396,0.033665971891910715,0.44163602941176483,0.042799396138823408,35,176.10895109176636,9.1210896126703214e-06,2.494727788201831e-06
0.0001,8.1000000000000004e-05,0.19750590698779097,0.031245621556459248,0.44044117647058822,0.034397472621492294,35,186.51706004142761,9.7929989157050394e-06,2.6604648016482808e-06
0.0001,0.00016200000000000001,0.21562508793715743,0.019267490039747752,0.46102941176470591,0.040054974117543669,36,187.33649516105652,7.7478145947524973e-06,2.0058693732771724e-06
0.0001,0.00032400000000000001,0.23323903570595408,0.028351733926819708,0.4609375,0.042886570382914796,36,189.59401702880859,7.67376588527174e-06,2.2626142633631742e-06
0.00020000000000000001,2.0250000000000001e-05,0.19082622287054601,0.013878660735957941,0.43060661764705876,0.033344568459391315,35,159.76600503921509,9.0965047485073091e-06,2.6948113654584964e-06
0.00020000000000000001,4.0500000000000002e-05,0.19909334407646606,0.013347538962583902,0.44145220588235279,0.024944128915643175,35,206.66003799438477,8.916680970015166e-06,2.6567265314062367e-06
0.00020000000000000001,8.1000000000000004e-05,0.20029115450907078,0.018444153034077301,0.4465992647058824,0.035672011669767384,35,351.96811699867249,9.6957934925297065e-06,2.8070257275780003e-06
0.00020000000000000001,0.00016200000000000001,0.2009371580654688,0.01850919069608194,0.44935661764705881,0.021680474021819302,36,326.99065017700195,7.7780313380394826e-06,2.0953506193610931e-06
0.00020000000000000001,0.00032400000000000001,0.21429753587463951,0.021424404472291325,0.45588235294117652,0.029784308545149362,36,178.3137800693512,7.6181224655559598e-06,2.3398684734498712e-06
0.00040000000000000002,2.0250000000000001e-05,0.17790870505436374,0.026993935099176438,0.39779411764705885,0.018578673031313178,36,215.00002002716064,6.9326602525784345e-06,2.7001324032441447e-06
0.00040000000000000002,4.0500000000000002e-05,0.2028772924984151,0.03202448489624958,0.42748161764705889,0.034773245244632829,35,217.73501515388489,9.5996023803814165e-06,3.3641064422560458e-06
0.00040000000000000002,8.1000000000000004e-05,0.24567379215091489,0.034853766683104269,0.45477941176470599,0.042988153668831082,36,322.04312801361084,7.2502697513490656e-06,2.17518960058975e-06
0.00040000000000000002,0.00016200000000000001,0.3246918247910045,0.036158427482745642,0.50174632352941173,0.03237906940825902,36,416.71581506729126,8.1606139213783097e-06,2.3698356338052125e-06
0.00040000000000000002,0.00032400000000000001,0.40623344689381879,0.029549977787609399,0.53685661764705883,0.021022440267174602,36,397.52309393882751,7.5765729210767064e-06,2.543443428740082e-06
