seed,nmi,ari,acc,recall,precision,fscore,predicted_clusters,min_cluster_size,run_valid
20260814,0.98018035661648795,0.98647507016207836,0.99264705882352944,0.98637563509409332,0.99302757536790975,0.98969042804659257,5,62,1
20260815,0.98018035661648795,0.98647507016207836,0.99264705882352944,0.98637563509409332,0.99302757536790975,0.98969042804659257,5,62,1
20260816,0.86834151132718085,0.75525047521812638,0.76102941176470584,0.75524396128409643,0.87202176121653063,0.80944268678510589,5,68,1
20260817,0.98018035661648795,0.98647507016207836,0.99264705882352944,0.98637563509409332,0.99302757536790975,0.98969042804659257,5,62,1
20260818,0.98018035661648795,0.98647507016207836,0.99264705882352944,0.98637563509409332,0.99302757536790975,0.98969042804659257,5,62,1
20260819,0.98018035661648795,0.98647507016207836,0.99264705882352944,0.98637563509409332,0.99302757536790975,0.98969042804659257,5,62,1
20260820,0.85231102811659376,0.8134035524809794,0.79779411764705888,0.88053135023133033,0.83850041895288807,0.85900204906684396,5,48,1
20260821,0.86834151132718096,0.75525047521812638,0.76102941176470584,0.75524396128409643,0.87202176121653063,0.80944268678510589,5,68,1
20260822,0.89783941512230137,0.86170121074927553,0.79963235294117652,0.8964548267151089,0.89305810829916588,0.89475324380984766,5,48,1
20260823,0.86524203499128449,0.7425714747198181,0.73713235294117652,0.7390082597712242,0.86957683444106748,0.79899343276253609,5,81,1
20260824,0.8652420349912846,0.7425714747198181,0.73713235294117652,0.7390082597712242,0.86957683444106748,0.79899343276253609,5,81,1
20260825,0.98018035661648772,0.98647507016207836,0.99264705882352944,0.98637563509409332,0.99302757536790975,0.98969042804659257,5,62,1
20260826,0.98018035661648795,0.98647507016207836,0.99264705882352944,0.98637563509409332,0.99302757536790975,0.98969042804659257,5,62,1
20260827,0.98018035661648795,0.98647507016207836,0.99264705882352944,0.98637563509409332,0.99302757536790975,0.98969042804659257,5,62,1
20260828,0.8652420349912846,0.7425714747198181,0.73713235294117652,0.7390082597712242,0.86957683444106748,0.79899343276253609,5,81,1
20260829,0.98018035661648795,0.98647507016207836,0.99264705882352944,0.98637563509409332,0.99302757536790975,0.98969042804659257,5,62,1
20260830,0.98018035661648772,0.98647507016207836,0.99264705882352944,0.98637563509409332,0.99302757536790975,0.98969042804659257,5,62,1
20260831,0.85969960032517079,0.82031395915881034,0.81617647058823528,0.91601146717379578,0.82033553634977119,0.86553754140349448,5,39,1
20260832,0.98018035661648772,0.98647507016207836,0.99264705882352944,0.98637563509409332,0.99302757536790975,0.98969042804659257,5,62,1
20260833,0.83412264090439558,0.69653943931793028,0.76286764705882348,0.7493684539184241,0.78590777840621562,0.76720330117400914,5,68,1
