dataset,lambda1,lambda2,gamma,nmi,converged,iterations,eig_K,eig_Kp1,eigengap,diagdom,meanDiag,meanOff,svr,sv1,sv2,froZ,stopping_reason
yale,0.01,0.001,24,0.22807084,1,35,-0.005772497925,-0.005790450566,1.795264116e-05,1.006256409,0.00596083656,0.005923774998,0.0001444764674,0.9845436421,0.0001422433874,0.9845436554,tolerance
yale,0.01,0.01,6,0.22400891,1,36,-0.005780030088,-0.005802531317,2.250122886e-05,1.006319,0.006048667711,0.006010686183,0.0002054907218,0.9989089264,0.0002052665163,0.9989089602,tolerance
yale,0.01,0.01,12,0.25832537,1,36,-0.005772931408,-0.005794950661,2.201925313e-05,1.006322865,0.006003736119,0.005966013817,0.0002236791069,0.9915142185,0.0002217810149,0.9915142556,tolerance
yale,0.01,0.01,24,0.24291309,1,35,-0.00576695869,-0.005788796957,2.1838267e-05,1.006327506,0.005960539797,0.005923061592,0.0002359556703,0.9844062817,0.000232276244,0.9844063213,tolerance
yale,0.01,0.05,6,0.20676251,1,36,-0.005773824402,-0.005785738252,1.191384993e-05,1.00641573,0.006049245304,0.006010682387,0.0004873518298,0.9988983298,0.0004868149288,0.9988984656,tolerance
yale,0.01,0.05,12,0.18515889,1,36,-0.005766466532,-0.005778499623,1.203309141e-05,1.006428022,0.006004359271,0.005966009628,0.0005182584399,0.991503331,0.0005138549695,0.9915034806,tolerance
yale,0.01,0.05,24,0.20718442,1,36,-0.00576047161,-0.005772552123,1.208051317e-05,1.006436573,0.005961181383,0.005923057195,0.000538265372,0.9843951515,0.0005298658224,0.9843953105,tolerance
yale,0.01,0.1,6,0.19450608,1,37,-0.005775095795,-0.005782655977,7.56018119e-06,1.006484142,0.006049653877,0.006010679775,0.0006314328387,0.9988941814,0.0006307345885,0.9988943994,tolerance
yale,0.01,0.1,12,0.19218506,1,36,-0.005767975394,-0.005775879254,7.903859531e-06,1.006499555,0.006004783283,0.005966006893,0.0006622091865,0.9914990934,0.0006565798081,0.9914993291,tolerance
yale,0.01,0.1,24,0.19387310,1,36,-0.005762062945,-0.005770140704,8.077758759e-06,1.006510398,0.005961615808,0.005923054365,0.000681868069,0.9843908262,0.0006712246718,0.9843910733,tolerance
yale,0.1,1e-05,6,0.73663482,1,31,0.1948295175,0.1919801094,0.002849408057,12.55092954,0.1730557947,0.0137882851,0.9513563282,1.180279492,1.122866363,4.393498253,tolerance
yale,0.1,1e-05,12,0.73689500,1,32,0.1895656646,0.1831254469,0.006440217752,10.22478159,0.1292925116,0.01264501452,0.9619064348,1.126927632,1.08399894,3.828312937,tolerance
yale,0.1,1e-05,24,0.72903349,1,32,0.1876368787,0.1807713461,0.006865532572,9.912967716,0.1099937539,0.01109594594,0.9647476792,1.036603021,1.000060358,3.356049391,tolerance
