dataset,gamma,nmi,acc,converged,iterations,eig_K,eig_Kp1,eigengap,diagdom,meanDiag,meanOff,svr,sv1,sv2,froZ,stopping_reason
scene,6,0.89615798,0.84554069,1,34,0.03246127421,0.03039402236,0.002067251853,10.09082918,0.005156721037,0.0005110304561,0.801433118,1.630913813,1.307068342,3.202234655,tolerance
scene,12,0.89555974,0.84826087,1,34,0.03512747782,0.03222355104,0.002903926775,8.877850195,0.003978317711,0.0004481172383,0.7535749874,1.438966841,1.084369419,2.818970989,tolerance
scene,24,0.92581107,0.86965440,1,35,0.05151606258,0.04599614076,0.005519921823,5.187106668,0.001880410996,0.0003625163539,0.9243987678,1.081504776,0.9997416821,2.26644669,tolerance
scene,48,0.92459548,0.87329989,1,35,0.05970481716,0.05381510067,0.005889716496,4.064851292,0.001261897477,0.0003104412403,0.8140255892,1.000038563,0.8140569805,1.896896797,tolerance
scene,96,0.91702502,0.85205128,1,35,0.06452733783,0.05705685465,0.007470483183,3.665810823,0.001003731813,0.0002738089502,0.6786307784,1.000007831,0.6786360928,1.625516615,tolerance
