dataset,lambda1,lambda2,gamma,eigengap,eig_K,eig_Kp1,idx,n_eligible,rule
uci,0.01,0.001,12,0.13463009829605826,0.18636759632545646,0.05173749802939819,26,90,guarded_eigengap
bbc,0.01,0.0001,6,0.24541713364126466,0.5143781869362286,0.26896105329496395,112,88,guarded_eigengap
yale,1,0.0001,6,0.011185839995155517,0.19089836947370128,0.17971252947854577,256,89,overregularized_fallback_max_meanDiag
orl,0.10000000000000001,0.001,24,0.07967840836353288,0.1538663170818292,0.07418790871829634,315,88,guarded_eigengap
scene,0.01,1.0000000000000001e-05,6,0.0036937152763132503,0.08782163276583832,0.08412791748952507,379,88,degenerate_fallback_max_eig_K
