dataset,lambda1,lambda2,gamma,nmi,converged,iterations,eig_K,eig_Kp1,eigengap,diagdom,meanDiag,meanOff,svr,sv1,sv2,froZ,stopping_reason
scene,0.01,0.01,6,0.91723817,1,37,0.05431006775,0.04670534211,0.007604725637,1.400381538,0.001166429048,0.0008329366083,0.1857206958,0.9999836138,0.1857176526,1.038087008,tolerance
scene,0.01,0.01,12,0.90849831,1,37,0.04755895308,0.0413084121,0.006250540984,1.250398827,0.001040891486,0.0008324475865,0.1323084509,0.9999724634,0.1323048076,1.016939976,tolerance
scene,0.01,0.01,24,0.90688214,1,37,0.03796220708,0.03513047175,0.002831735325,1.175989003,0.000979050607,0.0008325338115,0.1241320954,1.00002151,0.1241347655,1.012170384,tolerance
scene,0.01,0.05,6,0.90591032,1,40,0.05178045913,0.04493768897,0.006842770163,1.394087032,0.001161181117,0.0008329330168,0.1848964485,0.9999836152,0.184893419,1.037478481,tolerance
scene,0.01,0.05,12,0.90135843,1,40,0.04521344659,0.03967162584,0.005541820744,1.2463169,0.001037497057,0.0008324504439,0.1318934443,0.9999724623,0.1318898123,1.016677005,tolerance
scene,0.01,0.05,24,0.89858814,1,40,0.03794715081,0.03371323299,0.004233917815,1.173212989,0.0009767417374,0.0008325357344,0.123728257,1.000021507,0.1237309181,1.011990604,tolerance
scene,0.01,0.1,6,0.90554137,1,41,0.05088967358,0.04437500022,0.006514673356,1.392124324,0.001159545535,0.0008329324578,0.1845836988,0.9999836147,0.1845806744,1.037268345,tolerance
scene,0.01,0.1,12,0.90829614,1,41,0.04451349646,0.03918082987,0.005332666593,1.24508677,0.001036474098,0.0008324512983,0.1317199459,0.9999724615,0.1317163185,1.016586289,tolerance
scene,0.01,0.1,24,0.90214409,1,41,0.03780598686,0.03337607595,0.004429910909,1.172371437,0.0009760417988,0.0008325363175,0.123558073,1.000021506,0.1235607303,1.011927488,tolerance
scene,0.1,1e-05,6,0.86590243,1,34,0.05027210313,0.0450649857,0.005207117435,14.00146221,0.01778163526,0.001269984163,0.8630693435,1.157984753,0.9994211404,2.209580414,tolerance
scene,0.1,1e-05,12,0.87702462,1,34,0.05081954465,0.04527593528,0.005543609371,12.11487526,0.01423718425,0.001175182075,0.9779696336,1.014698425,0.9923442473,2.003031427,tolerance
scene,0.1,1e-05,24,0.87820634,1,34,0.05044564014,0.04476950581,0.00567613433,11.46878512,0.01240101406,0.001081284018,0.881481237,1.000832124,0.882214739,1.829920682,tolerance
scene,0.1,0.0001,6,0.83706195,1,33,0.05388846052,0.04599336617,0.007895094346,12.55717857,0.01551651904,0.001235669219,0.8344485855,1.197913358,0.9995971073,2.099533802,tolerance
scene,0.1,0.0001,12,0.85287091,1,33,0.05242014779,0.0453214347,0.007098713094,10.98313261,0.0122738478,0.001117517947,0.9778939123,1.009904787,0.9875797429,1.867710153,tolerance
scene,0.1,0.0001,24,0.84610286,1,33,0.05262908767,0.04563019284,0.00699889483,10.08838219,0.01050891534,0.001041684895,0.8721656631,1.000857068,0.8729131685,1.714734761,tolerance
scene,0.1,0.001,6,0.80940387,1,33,0.06237256887,0.05462744866,0.007745120207,7.712558673,0.008999107451,0.001166812187,0.9231144711,1.081882382,0.9987012826,1.897270904,tolerance
scene,0.1,0.001,12,0.81916903,1,33,0.06267623797,0.05399269713,0.008683540833,7.530610328,0.008078627504,0.001072771947,0.9142314155,1.001660836,0.9157498036,1.721772174,tolerance
scene,0.1,0.001,24,0.82773292,1,33,0.05963584338,0.05212384829,0.007511995099,6.199459614,0.006127516898,0.0009883953246,0.7708002372,1.00051582,0.7711978312,1.548189285,tolerance
scene,0.1,0.01,6,0.78187417,1,37,0.06244715969,0.05771683501,0.00473032468,3.27354674,0.003628493725,0.001108428873,0.9451036812,1.004431403,0.9492918161,1.751169644,tolerance
scene,0.1,0.01,12,0.79517434,1,37,0.06121639249,0.05683173505,0.004384657432,3.134233179,0.003165296582,0.001009911006,0.7679262976,1.001048301,0.7687313151,1.570193628,tolerance
scene,0.1,0.01,24,0.81422484,1,37,0.06059218914,0.05602986395,0.004562325198,2.747710808,0.002563669124,0.0009330199946,0.6312977231,1.0003957,0.6315475276,1.40844214,tolerance
scene,0.1,0.05,6,0.75442101,1,40,0.06169306055,0.06071478701,0.0009782735486,2.781282327,0.003035402123,0.001091367853,0.9101942972,1.002869153,0.9128057838,1.713442592,tolerance
scene,0.1,0.05,12,0.77254505,1,40,0.05974659233,0.05900350641,0.000743085913,2.757425124,0.002746465564,0.0009960254371,0.7331805504,1.000970099,0.733891808,1.538269849,tolerance
scene,0.1,0.05,24,0.79198185,1,40,0.05862776395,0.0570237227,0.001604041258,2.569933807,0.002376581855,0.0009247638396,0.6081765005,1.000362341,0.6083968676,1.38679977,tolerance
scene,0.1,0.1,6,0.76041682,1,41,0.06343481928,0.06273363221,0.0007011870653,2.773823844,0.003019030596,0.001088400261,0.9036349316,1.002696187,0.9060713003,1.706975623,tolerance
scene,0.1,0.1,12,0.76702062,1,41,0.06043596989,0.05994791138,0.0004880585131,2.747554802,0.002730545581,0.0009938093242,0.7275794993,1.000957485,0.7282761459,1.533256087,tolerance
scene,0.1,0.1,24,0.78950884,1,41,0.05770609877,0.05651411277,0.001191986003,2.558351854,0.002362592664,0.0009234823037,0.6048466089,1.000356265,0.6050620946,1.383650204,tolerance
scene,0.5,1e-05,6,0.84735595,1,33,0.04971094022,0.04769276558,0.002018174642,17.25479465,0.02742252458,0.00158926983,0.7235116415,1.457719253,1.054676849,2.883261618,tolerance
scene,0.5,1e-05,12,0.85047073,1,33,0.04966576804,0.04740049599,0.002265272044,15.93321947,0.02435772976,0.001528738734,0.7114466415,1.414047702,1.006019488,2.743784517,tolerance
scene,0.5,1e-05,24,0.84804993,1,33,0.04940137412,0.04752213445,0.001879239674,15.70791455,0.0228784121,0.001456489467,0.7351648574,1.360287118,1.000035285,2.618674344,tolerance
scene,0.5,0.0001,6,0.80982670,1,33,0.05192846459,0.04973653091,0.002191933676,16.63829283,0.02578095902,0.001549495449,0.7169200202,1.472891567,1.055945452,2.785542813,tolerance
scene,0.5,0.0001,12,0.81570920,1,33,0.0509384599,0.04883869572,0.002099764184,15.58886213,0.02301960481,0.001476669985,0.7109053527,1.406875044,1.000154999,2.640956007,tolerance
scene,0.5,0.0001,24,0.81252988,1,33,0.05113390817,0.04917839068,0.001955517497,15.20409843,0.02158094591,0.001419416351,0.7360517811,1.358642634,1.000031331,2.533119545,tolerance
scene,0.5,0.001,6,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,error
scene,0.5,0.001,12,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,error
scene,0.5,0.001,24,0.79364088,1,33,0.05811739936,0.05670300461,0.001414394751,13.18708496,0.01799683257,0.001364731677,0.7565440763,1.32184921,1.00003719,2.395199663,tolerance
scene,0.5,0.01,6,0.76167802,1,37,0.07197519569,0.0713866731,0.0005885225865,7.974420944,0.01123917259,0.001409402974,0.7379631627,1.355295707,1.000158306,2.394631241,tolerance
scene,0.5,0.01,12,0.76406525,1,37,0.07169189126,0.07052883294,0.001163058321,8.134406014,0.01091022747,0.001341244517,0.7764259687,1.288070756,1.000091585,2.281623547,tolerance
scene,0.5,0.01,24,0.76530051,1,37,0.07222031986,0.0707553094,0.001465010461,7.979109627,0.01023437742,0.001282646548,0.8107408154,1.233427128,0.9999897152,2.175284326,tolerance
scene,0.5,0.05,6,0.75431186,1,40,0.06826493398,0.06498470317,0.003280230814,5.472043489,0.007434256894,0.001358588781,0.769358455,1.299842596,1.000044891,2.271144887,tolerance
scene,0.5,0.05,12,0.75327855,1,40,0.06733176905,0.06512579516,0.002205973886,5.639984601,0.007277844398,0.001290401466,0.8162766291,1.224968535,0.9999131868,2.158114527,tolerance
scene,0.5,0.05,24,0.75605858,1,40,0.06743992541,0.06575492372,0.001685001686,5.592522717,0.006907881983,0.001235199629,0.855366506,1.168754358,0.9997133313,2.058698414,tolerance
scene,0.5,0.1,6,0.74370929,1,41,0.06707281611,0.06451840228,0.002554413832,5.157849626,0.006937668101,0.001345069865,0.7794848747,1.282895669,0.9999977695,2.240631748,tolerance
scene,0.5,0.1,12,0.75222208,1,41,0.06591645645,0.06450168747,0.001414768973,5.302291851,0.006770972982,0.00127698987,0.8288693163,1.206242763,0.9998176144,2.127678518,tolerance
scene,0.5,0.1,24,0.74307177,1,41,0.06587509199,0.06466008395,0.001215008036,5.25739691,0.006426734666,0.001222417629,0.8694910575,1.149582653,0.9995518364,2.029279113,tolerance
scene,1,1e-05,6,0.84723299,1,35,0.05033276345,0.04963082867,0.0007019347801,18.68009794,0.03189983999,0.00170769126,0.7868807535,1.459781831,1.148674227,3.159233883,tolerance
scene,1,1e-05,12,0.83990716,1,34,0.05036568307,0.04962120902,0.0007444740451,17.50002266,0.02896235266,0.001654989438,0.7768525739,1.428286941,1.109568386,3.035656738,tolerance
scene,1,1e-05,24,0.83937474,1,34,0.0506023803,0.04941832821,0.001184052092,17.32274312,0.02756871297,0.001591475021,0.7742770976,1.385736634,1.072944139,2.927464449,tolerance
scene,1,0.0001,6,0.80449758,1,35,0.05191821237,0.051595116,0.0003230963729,18.18295621,0.03036607069,0.001670029358,0.779111841,1.470887628,1.145985968,3.069970696,tolerance
scene,1,0.0001,12,0.80359200,1,35,0.0512561632,0.05062861071,0.0006275524928,17.26786566,0.02773772379,0.001606320337,0.7690438235,1.418894686,1.091192194,2.942819605,tolerance
scene,1,0.0001,24,0.81880542,1,35,0.0512856938,0.05089033663,0.0003953571733,16.95822865,0.02639513831,0.001556479681,0.7637843922,1.382965398,1.056287386,2.850567412,tolerance
scene,1,0.001,6,0.76220211,1,35,0.05943040106,0.05762730785,0.001803093214,15.5902452,0.02518808834,0.001615631314,0.7749969112,1.42990495,1.108171919,2.918852203,tolerance
scene,1,0.001,12,0.76834876,1,35,0.05924031306,0.05729517217,0.001945140892,15.82408243,0.02466766809,0.001558868781,0.7626133614,1.390624811,1.060509062,2.829095414,tolerance
scene,1,0.001,24,0.77080971,1,35,0.05806235479,0.05601197254,0.002050382257,15.47667326,0.02329619816,0.001505245848,0.7545501513,1.35489617,1.02233711,2.729852667,tolerance
scene,1,0.01,6,0.75386893,1,37,0.07264439378,0.07180131552,0.0008430782604,11.14691486,0.01705600313,0.001530109752,0.7526437226,1.382779132,1.040740033,2.690385426,tolerance
scene,1,0.01,12,0.74878832,1,37,0.07211061112,0.0708358668,0.00127474432,11.4126612,0.01678516998,0.00147074987,0.7491869945,1.335718483,1.000702916,2.597101732,tolerance
scene,1,0.01,24,0.75136221,1,37,0.07224417383,0.07131178677,0.000932387057,11.41794622,0.01621065201,0.001419752003,0.7695794973,1.299706578,1.000227535,2.507814466,tolerance
scene,1,0.05,6,0.74866511,1,40,0.07176974037,0.07060015332,0.001169587052,8.820393019,0.01294665005,0.00146780875,0.7419507255,1.348558484,1.000563946,2.531445868,tolerance
scene,1,0.05,12,0.74690280,1,40,0.07103775798,0.07040686407,0.0006308939043,9.116639097,0.01283981109,0.001408393044,0.771331377,1.296806752,1.000267738,2.438120996,tolerance
scene,1,0.05,24,0.73993243,1,40,0.07157664628,0.07087002147,0.0007066248018,9.179502423,0.01247713484,0.001359238689,0.7950520758,1.25803352,1.000202162,2.352615742,tolerance
scene,1,0.1,6,0.73241012,1,41,0.07014079992,0.06781577671,0.002325023211,8.156212068,0.01181203329,0.001448225376,0.7490751103,1.335291415,1.000233564,2.481438735,tolerance
scene,1,0.1,12,0.74720714,1,41,0.06933651924,0.06770757152,0.001628947719,8.443738513,0.01172405417,0.001388490909,0.7805145296,1.281459204,1.000197528,2.387351705,tolerance
scene,1,0.1,24,0.74945554,1,41,0.06958746421,0.06814799487,0.001439469347,8.508356779,0.01139786084,0.001339607768,0.8056696287,1.241377933,1.000140498,2.302256593,tolerance
