seed,nmi,ari,acc,recall,precision,fscore,predicted_clusters,min_cluster_size,run_valid
20260814,0.98597603210220341,0.93231329929571682,0.93000000000000005,0.97333333333333338,0.89754098360655743,0.93390191897654584,40,4,1
20260815,0.99193454276156134,0.96450996906296649,0.96999999999999997,0.98999999999999999,0.94186046511627908,0.96533044420368352,40,1,1
20260816,0.98648819361415097,0.93434358952299612,0.9325,0.97722222222222221,0.89790709545686576,0.93588720404362857,40,2,1
20260817,0.99100879526313734,0.96287793095198626,0.96499999999999997,0.98166666666666669,0.94643813604713445,0.96373056994818651,40,4,1
20260818,0.98772672194655042,0.93895660156050798,0.9425,0.98611111111111116,0.89873417721518989,0.94039735099337751,40,1,1
20260819,0.98639349985980751,0.93405400089332191,0.93500000000000005,0.97666666666666668,0.89785495403472937,0.9356040447046301,40,3,1
20260820,0.98418467948481125,0.93056714528242157,0.9325,0.96999999999999997,0.89722507708119215,0.93219434063000528,40,3,1
20260821,0.98064613275562862,0.90743274053807554,0.91000000000000003,0.97333333333333338,0.85380116959064323,0.90965732087227413,40,2,1
20260822,0.98590843636388692,0.93202265295775455,0.92749999999999999,0.97277777777777774,0.89748846745258837,0.93361770194614768,40,4,1
20260823,0.98713638803874471,0.93694312292576054,0.93999999999999995,0.98222222222222222,0.89837398373983735,0.93842887473460712,40,2,1
20260824,0.98676480412802237,0.93550043891868429,0.9375,0.97944444444444445,0.89811512990320941,0.93701833643369659,40,2,1
20260825,0.98611709744609521,0.9328941377231017,0.93000000000000005,0.97444444444444445,0.89764585465711366,0.93446989877464037,40,3,1
20260826,0.99193454276156123,0.96450996906296649,0.96999999999999997,0.98999999999999999,0.94186046511627908,0.96533044420368352,40,1,1
20260827,0.98648819361415085,0.93434358952299612,0.9325,0.97722222222222221,0.89790709545686576,0.93588720404362857,40,2,1
20260828,0.98547429714976276,0.93381897086174837,0.93999999999999995,0.98111111111111116,0.89372469635627527,0.9353813559322034,40,1,1
20260829,0.99358755979534252,0.96776889200865734,0.96999999999999997,0.99111111111111116,0.94692144373673037,0.96851248642779586,40,2,1
20260830,0.99417996153380239,0.96977001691144127,0.97250000000000003,0.995,0.94711792702273934,0.97046870766729887,40,1,1
20260831,0.97729358105470543,0.87770102953315154,0.89749999999999996,0.96166666666666667,0.81229469732519943,0.88069193589417449,40,3,1
20260832,0.979697862516963,0.90365664498859244,0.90249999999999997,0.96611111111111114,0.85286905345757724,0.90596509507684297,40,2,1
20260833,0.99321467320075207,0.96633496013873521,0.96750000000000003,0.98833333333333329,0.94678020223523152,0.96711062788801294,40,3,1
