seed,nmi,ari,acc,recall,precision,fscore,predicted_clusters,min_cluster_size,run_valid
20260814,0.92337593382087091,0.87266246599584962,0.89096989966555185,0.8874450588198044,0.87567419416223835,0.88152033440838085,15,196,1
20260815,0.94347901973395043,0.92161974800102975,0.93065774804905244,0.93178514580460947,0.92238913140108736,0.92706333148618292,15,145,1
20260816,0.92301576657687023,0.86276686675343173,0.88673355629877371,0.87221552198078967,0.87228331270330173,0.87224941602488182,15,221,1
20260817,0.89552363430744319,0.79405941570902561,0.81070234113712369,0.86208216638794299,0.76236609364440378,0.80916361543776605,15,72,1
20260818,0.94275617072095452,0.9135563719028027,0.9215161649944259,0.94459683895721858,0.89605760212321817,0.91968721515413288,15,64,1
20260819,0.90327143947817357,0.78885640408875379,0.80780379041248607,0.85481568259469165,0.75943710450978708,0.80430865855120026,15,133,1
20260820,0.89883328387548389,0.79701265404592092,0.80379041248606464,0.84032301240296248,0.78462609368721925,0.81152001645597516,15,133,1
20260821,0.88404847226735739,0.74697947309847879,0.7297658862876254,0.83116255105535997,0.71003269110897738,0.76583753534831145,15,113,1
20260822,0.91726074476141706,0.83705412943966229,0.84370122630992195,0.87318122026268141,0.82542239370262993,0.8486304009242791,15,146,1
20260823,0.93849781040217228,0.89849987696767175,0.91125975473801557,0.920935072261864,0.89082566380674877,0.9056301759257489,15,102,1
20260824,0.90625521735912773,0.80582092531943716,0.81627647714604235,0.85320378680375453,0.78884793485203319,0.81976473256201454,15,135,1
20260825,0.9388706841345591,0.89993357777886518,0.91371237458193977,0.92350834875668142,0.89101754999854199,0.90697206016939869,15,93,1
20260826,0.93963523690212192,0.90442028809667074,0.91594202898550725,0.93204563967796628,0.89121441979005545,0.91117282986587422,15,80,1
20260827,0.91480748404703061,0.83383663917384476,0.84548494983277589,0.9137952374236149,0.7878614911564491,0.84616840315259489,15,31,1
20260828,0.91513864177594773,0.82500134722759633,0.82363433667781494,0.86022416865035389,0.81578329598218058,0.83741453709930502,15,132,1
20260829,0.94307310099224562,0.92116216812839768,0.93043478260869561,0.93195209215438513,0.92139004181850004,0.92664097084141539,15,141,1
20260830,0.91265048559019235,0.82470290426803805,0.83277591973244147,0.88725940296531258,0.7930173088005269,0.83749546609864411,15,132,1
20260831,0.88517072308221922,0.74636692884434286,0.76566332218506128,0.84751321898467835,0.69810430529326895,0.76558736902592783,15,68,1
20260832,0.91520901433172297,0.84473852411035399,0.85261984392419177,0.88867412936039403,0.82538908100290198,0.85586332932070086,15,146,1
20260833,0.89962754768398312,0.80030201886543928,0.80758082497212935,0.84667416965778874,0.78491118852475417,0.81462367318566287,15,135,1
